filename,r2_key,production_url,source_type,file_type,file_size,file_size_bytes,url_exists,article_ids,article_count,last_modified,etag,ai_caption_alt,ai_caption_descriptive,ai_caption_seo,needs_caption
desktop-light-configure-template-tools.png,tallyfy/pro/desktop-light-configure-template-tools.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-configure-template-tools.png,native,.png,222.4KB,227709,True,"pro-documenting-templates-config,pro-documenting-templates-import-feature",2,2024-09-24T02:00:47.556Z,eb41cad994d34242baa4545f0a907eea,Template configuration dialog view view view,"Template configuration panel with settings for workflow automation, task sequencing, team access control, notification rules, and approval workflow configuration options.",Tallyfy template configuration workflow automation setup automation,no
desktop-light-conflict-resolution-example.png,tallyfy/pro/desktop-light-conflict-resolution-example.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-conflict-resolution-example.png,native,.png,360.4KB,369052,True,"pro-documenting-members-how-can-i-remove-a-member-from-my-tallyfy-organization,pro-settings-org-settings-how-can-i-remove-a-member-from-my-tallyfy-organization",2,2024-09-24T02:01:37.183Z,cc033e33e28927e605cec8e2f580ef14,Conflict resolution example view view view,"Conflict resolution example showing how Tallyfy handles workflow conflicts, displays resolution options, and provides team communication tools for conflict management.",Tallyfy conflict resolution workflow management processes automation,no
desktop-light-copy-search-result-link.png,tallyfy/pro/desktop-light-copy-search-result-link.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-copy-search-result-link.png,native,.png,92.4KB,94639,True,"pro-miscellaneous-how-to-use-tallyfys-universal-search-function,pro-tutorials-navigate-tallyfy",2,2024-09-24T02:01:35.476Z,c8ff52c079fcdc375e620fbd53e11f53,Copy search result link view view view view,"Copy search result link feature in Tallyfy showing search results, shareable link generation, copy to clipboard button, and link sharing options displayed.",Tallyfy copy search result link sharing processes automation,no
desktop-light-export-csv.png,tallyfy/pro/desktop-light-export-csv.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-export-csv.png,native,.png,165.5KB,169454,True,"pro-integrations-analytics-how-is-the-csv-file-structured-in-tallyfy,pro-tracking-and-tasks-processes-how-can-i-export-tallyfy-processes-to-csv",2,2024-09-24T02:01:39.010Z,d15896e5f55e2910ac385476a0d7eb8e,Export data to CSV format view view view,"Export to CSV functionality showing data selection options, file format configuration, export history, and download controls for process data and reporting.",Tallyfy export CSV data download reporting spreadsheet automation,no
desktop-light-filter-archived-processes.png,tallyfy/pro/desktop-light-filter-archived-processes.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-filter-archived-processes.png,native,.png,312.5KB,319963,True,"pro-tracking-and-tasks-processes-edit-processes-how-can-i-delete-a-process-in-tallyfy,pro-tracking-and-tasks-tracker-view-organize-processes-how-to-archive-and-unarchive-processes-in-tallyfy",2,2024-09-24T02:00:48.869Z,7bd18dccceb5a093de92428ac21acf57,Filter and view archived processes view view,"Filter and display archived processes in Tallyfy showing archive status toggle, date range filters, team filters, and archival history management controls.",Tallyfy filter archived processes history management automation,no
desktop-light-how-to-add-kickoff-forms.png,tallyfy/pro/desktop-light-how-to-add-kickoff-forms.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-how-to-add-kickoff-forms.png,native,.png,375.9KB,384875,True,"pro-index,pro-launching-triggers-kick-off-forms",2,2024-09-24T02:00:49.394Z,32d1af9d630a7230962ad13e49e0fa1b,Add kickoff forms to template view view view,"Add kickoff forms to template interface showing public form builder, field configuration, form design tools, and preview functionality for process initiation.",Tallyfy public kickoff form template trigger process automation,no
desktop-light-name-process-before-launch.png,tallyfy/pro/desktop-light-name-process-before-launch.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-name-process-before-launch.png,native,.png,234.3KB,239972,True,"pro-launching-how-can-i-launch-a-process-in-tallyfy,pro-tutorials-your-first-process",2,2024-09-24T02:01:33.630Z,57d9192d8f33e2fb6302c738c0ce9ec5,Name process before launch view view view,"Name process before launch screen showing process naming field, template selection, team assignment, and launch configuration options in Tallyfy interface.",Tallyfy name process before launch workflow automation automation,no
desktop-light-only-assigned-can-complete.png,tallyfy/pro/desktop-light-only-assigned-can-complete.png,https://screenshots.tallyfy.com/tallyfy%2Fpro%2Fdesktop-light-only-assigned-can-complete.png,missing,.png,N/A,0,False,"pro-tracking-and-tasks-tasks-edit-task-how-can-i-assign-members-to-tasks-in-tallyfy,pro-tracking-and-tasks-tasks-how-can-i-utilize-tallyfys-advanced-tab-features",2,,,,,,no
desktop-light-remove-member.png,tallyfy/pro/desktop-light-remove-member.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-remove-member.png,native,.png,17.7KB,18088,True,"pro-documenting-members-how-can-i-remove-a-member-from-my-tallyfy-organization,pro-settings-org-settings-how-can-i-remove-a-member-from-my-tallyfy-organization",2,2024-09-24T02:01:37.993Z,12199c451c919aec60478db9b40bfda2,Remove team member interface view view view,"Remove team member interface showing member list, removal confirmation dialog, permission revocation options, and team access management in Tallyfy platform.",Tallyfy remove team member access permissions management automation,no
desktop-light-search-bar-results.png,tallyfy/pro/desktop-light-search-bar-results.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-search-bar-results.png,native,.png,87.9KB,89969,True,"pro-miscellaneous-how-to-use-tallyfys-universal-search-function,pro-tutorials-navigate-tallyfy",2,2024-09-24T02:01:38.321Z,a6f431c6805d1e90f929411523cf7ff3,Search bar with results display view view,"Search bar with results display showing process search functionality, filter options, result sorting, result details preview, and result selection in Tallyfy.",Tallyfy search processes results filtering sorting automation,no
desktop-light-show-template-created-by-tallyfyai.png,tallyfy/pro/desktop-light-show-template-created-by-tallyfyai.png,https://screenshots.tallyfy.com/tallyfy/pro/desktop-light-show-template-created-by-tallyfyai.png,native,.png,392.9KB,402379,True,"pro-documenting-templates-edit-templates-index,pro-tutorials-your-first-template",2,2024-09-24T02:01:56.878Z,9491d99b1f409bf6c8379fd5c7941549,Tallyfy AI generated template view view view,"Template created by Tallyfy AI showing AI-generated workflow structure, template recommendations, and customization options for team automation processes.",Tallyfy AI template generation workflow automation automation,no
file-JFjFk3MCzJ.png,file-JFjFk3MCzJ.png,https://screenshots.tallyfy.com/file-JFjFk3MCzJ.png,native,.png,224.5KB,229878,True,"pro-integrations-analytics-how-is-the-csv-file-structured-in-tallyfy,pro-tracking-and-tasks-processes-how-can-i-export-tallyfy-processes-to-csv",2,2024-03-06T20:28:46.184Z,c1a5693c3f34392c3a245ba0766bc211,Tallyfy document or file view view view view,"Tallyfy document or file preview showing file management interface, document viewer, sharing controls, and file version history tracking in platform.",Tallyfy document file management sharing collaboration automation,no
file-g5qdMzYyEK.png,file-g5qdMzYyEK.png,https://screenshots.tallyfy.com/file-g5qdMzYyEK.png,native,.png,56.7KB,58039,True,"pro-integrations-webhooks-how-can-i-use-tallyfys-webhooks-feature,pro-integrations-webhooks-how-to-set-up-webhooks-in-tallyfy",2,2024-03-06T20:28:50.562Z,deb13ef0b10c2ffa3e75acdb8ca984f5,Tallyfy document or file view view view view,"Tallyfy document or file preview showing file management interface, document viewer, sharing controls, and file version history tracking in platform.",Tallyfy document file management sharing collaboration automation,no
Import Template.png,Import Template.png,https://screenshots.tallyfy.com/Import Template.png,native,.png,172.2KB,176311,True,pro-documenting-templates-import-feature,1,2024-06-27T16:59:18.843Z,c769a0d28cf713eb88bacafba2bd1628,Template import interface for uploading external workflow templates,"The template import feature displays an interface for uploading workflow templates from external sources such as Excel files, CSV documents, or other Tallyfy exports. Users can map imported fields to Tallyfy template structure, specify task details, and configure settings during the import process. The import wizard guides users through transforming external process documentation into structured Tallyfy templates. This feature accelerates template creation by converting existing documentation into executable workflows.",import template template upload workflow import Excel import CSV import template creation import wizard external template,yes
SAMPLE-WORKBOOK---Athena.zip,SAMPLE-WORKBOOK---Athena.zip,https://screenshots.tallyfy.com/SAMPLE-WORKBOOK---Athena.zip,native,.zip,147.9KB,151439,True,pro-integrations-analytics-tableau-sample-tableau-visualizations,1,2024-05-10T20:55:05.069Z,198ab32e80fdb85f46438b923d99d76c,,,,no
Tallyfy-mobile-dashboard.png,Tallyfy-mobile-dashboard.png,https://screenshots.tallyfy.com/Tallyfy-mobile-dashboard.png,native,.png,65.2KB,66752,True,pro-miscellaneous-does-tallyfy-work-on-all-devices,1,2024-09-05T19:04:01.128Z,14d9add744ce10d4454e8a8b807e902b,Tallyfy mobile app dashboard view view view,"Tallyfy mobile application dashboard showing active processes list, task notifications, team member activity, and status overview on mobile device screen.",Tallyfy mobile app dashboard processes task notifications automation,no
Webhook-Sample.json,Webhook-Sample.json,https://screenshots.tallyfy.com/Webhook-Sample.json,native,.json,3.4KB,3462,True,pro-integrations-webhooks-how-can-i-use-tallyfys-webhooks-feature,1,2024-03-06T20:28:38.485Z,4218aa5b042af2b91b21f1e5dded6a4a,,,,no
auto-sign-zapier-1.png,auto-sign-zapier-1.png,https://screenshots.tallyfy.com/auto-sign-zapier-1.png,native,.png,203.3KB,208202,True,pro-documenting-documents-how-can-i-automate-document-signing-with-tallyfy,1,2024-05-10T05:08:19.600Z,e8be81ba25874afdd81cb064b009b28b,Zapier integration setup screen view view,"Zapier integration setup wizard for Tallyfy showing action configuration, trigger selection, field mapping, and workflow testing controls for automation setup.",Zapier integration Tallyfy workflow automation trigger automation,no
auto-sign-zapier-5.png,auto-sign-zapier-5.png,https://screenshots.tallyfy.com/auto-sign-zapier-5.png,native,.png,179.3KB,183596,True,pro-documenting-documents-how-can-i-automate-document-signing-with-tallyfy,1,2024-05-10T05:08:19.559Z,e0e21462450ff66e2b8c411e76fa7499,Zapier integration setup screen view view,"Zapier integration setup wizard for Tallyfy showing action configuration, trigger selection, field mapping, and workflow testing controls for automation setup.",Zapier integration Tallyfy workflow automation trigger automation,no
auto-sign-zapier-6.png,auto-sign-zapier-6.png,https://screenshots.tallyfy.com/auto-sign-zapier-6.png,native,.png,272.8KB,279357,True,pro-documenting-documents-how-can-i-automate-document-signing-with-tallyfy,1,2024-05-10T05:08:21.437Z,06cd3e090a58fa3234e23854b4a643d8,Zapier integration setup screen view view,"Zapier integration setup wizard for Tallyfy showing action configuration, trigger selection, field mapping, and workflow testing controls for automation setup.",Zapier integration Tallyfy workflow automation trigger automation,no
auto-sign-zapier-7.png,auto-sign-zapier-7.png,https://screenshots.tallyfy.com/auto-sign-zapier-7.png,native,.png,389.8KB,399193,True,pro-documenting-documents-how-can-i-automate-document-signing-with-tallyfy,1,2024-05-10T05:08:21.176Z,2b5cccd41be8855093e92c4b5bace85b,Zapier integration setup screen view view,"Zapier integration setup wizard for Tallyfy showing action configuration, trigger selection, field mapping, and workflow testing controls for automation setup.",Zapier integration Tallyfy workflow automation trigger automation,no
auto-sign-zapier-8.png,auto-sign-zapier-8.png,https://screenshots.tallyfy.com/auto-sign-zapier-8.png,native,.png,272.6KB,279184,True,pro-documenting-documents-how-can-i-automate-document-signing-with-tallyfy,1,2024-05-10T05:08:21.284Z,3a894dea4c9ec3cbbdab93d0f073a94b,Zapier integration setup screen view view,"Zapier integration setup wizard for Tallyfy showing action configuration, trigger selection, field mapping, and workflow testing controls for automation setup.",Zapier integration Tallyfy workflow automation trigger automation,no
azuresso-1.png,azuresso-1.png,https://screenshots.tallyfy.com/azuresso-1.png,native,.png,22.5KB,23061,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:31.962Z,f9c7112544d895a5598252235ee7df5b,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-10.png,azuresso-10.png,https://screenshots.tallyfy.com/azuresso-10.png,native,.png,12.2KB,12472,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:31.981Z,c269bbc269f5775f826a6e6f84afb0a7,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-11.png,azuresso-11.png,https://screenshots.tallyfy.com/azuresso-11.png,native,.png,22.8KB,23309,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:32.033Z,e9836a2a068e09d4b2f292fb86b36040,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-12.png,azuresso-12.png,https://screenshots.tallyfy.com/azuresso-12.png,native,.png,41.6KB,42632,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:32.178Z,4eea59f3669e37dfe8af9e934ea3ad66,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-13.png,azuresso-13.png,https://screenshots.tallyfy.com/azuresso-13.png,native,.png,51.6KB,52789,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:32.117Z,dfe37d4a3f803bcce40505620bd1c672,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-14.png,azuresso-14.png,https://screenshots.tallyfy.com/azuresso-14.png,native,.png,16.5KB,16846,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:32.647Z,18baafb4a89bfdcfb66607847362386b,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-15.png,azuresso-15.png,https://screenshots.tallyfy.com/azuresso-15.png,native,.png,14.1KB,14389,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:32.747Z,958c09eb81b624ef9359889018c733ac,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-2.png,azuresso-2.png,https://screenshots.tallyfy.com/azuresso-2.png,native,.png,24.3KB,24889,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:32.876Z,8b9271e49751f1c7ad00df98a682f4ac,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-3.png,azuresso-3.png,https://screenshots.tallyfy.com/azuresso-3.png,native,.png,43.5KB,44518,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:33.152Z,dd6730b8f195d2afeb3a70da102a9528,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-4.png,azuresso-4.png,https://screenshots.tallyfy.com/azuresso-4.png,native,.png,61.5KB,62940,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:33.289Z,431227bab316f61f8a6b47aa5efee6a1,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-5.png,azuresso-5.png,https://screenshots.tallyfy.com/azuresso-5.png,native,.png,33.5KB,34342,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:33.537Z,b8eb600a7c4d89ed833b826d460ade3e,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-6.png,azuresso-6.png,https://screenshots.tallyfy.com/azuresso-6.png,native,.png,29.8KB,30490,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:33.645Z,cf883e64f94c9587bedb842b914c32b5,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-7.png,azuresso-7.png,https://screenshots.tallyfy.com/azuresso-7.png,native,.png,15.6KB,15963,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:33.948Z,dee81cc30abd4d0c8affae15ca3b6379,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-8.png,azuresso-8.png,https://screenshots.tallyfy.com/azuresso-8.png,native,.png,28.1KB,28820,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:33.961Z,b631341dcfb64faa5dcd47e5e5ba14aa,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
azuresso-9.png,azuresso-9.png,https://screenshots.tallyfy.com/azuresso-9.png,native,.png,21.2KB,21684,True,pro-integrations-authentication-how-to-integrate-azure-ad-samlsso-with-tallyfy,1,2024-05-09T07:09:34.110Z,ea89a4e4aa9bd37a9ecb0ab04e581c13,Azure SSO integration setup view view view,"Azure Active Directory SSO configuration showing tenant connection, app registration details, authentication endpoints, and user provisioning setup for enterprise.",Azure Active Directory SSO Tallyfy authentication setup automation,no
custom-tallyfy-zap-1.png,custom-tallyfy-zap-1.png,https://screenshots.tallyfy.com/custom-tallyfy-zap-1.png,native,.png,47.7KB,48876,True,pro-integrations-middleware-zapier-how-to-customize-your-tallyfy-zap-for-launch-process,1,2024-05-10T06:22:38.382Z,f44addc38996621fac5c9ace00e80ebf,Custom Zapier workflow setup view view view,"Custom Zapier integration configuration showing action steps, input field mapping, conditional logic rules, and workflow testing panel for verification.",Custom Zapier integration Tallyfy action configuration automation,no
custom-tallyfy-zap-2.png,custom-tallyfy-zap-2.png,https://screenshots.tallyfy.com/custom-tallyfy-zap-2.png,native,.png,46.6KB,47747,True,pro-integrations-middleware-zapier-how-to-customize-your-tallyfy-zap-for-launch-process,1,2024-05-10T06:22:38.435Z,b66999ecc8787fe14751d7f09bf69bd8,Custom Zapier workflow setup view view view,"Custom Zapier integration configuration showing action steps, input field mapping, conditional logic rules, and workflow testing panel for verification.",Custom Zapier integration Tallyfy action configuration automation,no
custom-tallyfy-zap-3.png,custom-tallyfy-zap-3.png,https://screenshots.tallyfy.com/custom-tallyfy-zap-3.png,native,.png,43.9KB,45003,True,pro-integrations-middleware-zapier-how-to-customize-your-tallyfy-zap-for-launch-process,1,2024-05-10T06:22:38.417Z,ec13f7830db573c2b4a786b20a59542c,Zapier custom action configuration with Tallyfy event trigger setup,Zapier interface showing custom action configuration for Tallyfy. Event dropdown displays 'New Run Started' trigger option with sample data preview below.,Zapier Tallyfy integration trigger setup - New Run Started event configuration panel,no
custom-tallyfy-zap-4.png,custom-tallyfy-zap-4.png,https://screenshots.tallyfy.com/custom-tallyfy-zap-4.png,native,.png,46.4KB,47498,True,pro-integrations-middleware-zapier-how-to-customize-your-tallyfy-zap-for-launch-process,1,2024-05-10T06:22:38.488Z,6df6158cba1ed11f62ea85967f9a829f,Zapier integration showing Tallyfy trigger configuration fields,"Zapier trigger setup for Tallyfy showing dropdown menu to select organization, with 'Choose Account...' prompt and multiple organization options listed",Tallyfy Zapier trigger organization selection dropdown configuration screen,no
custom-tallyfy-zap-5.png,custom-tallyfy-zap-5.png,https://screenshots.tallyfy.com/custom-tallyfy-zap-5.png,native,.png,44.7KB,45769,True,pro-integrations-middleware-zapier-how-to-customize-your-tallyfy-zap-for-launch-process,1,2024-05-10T06:22:38.485Z,82e60ccad015b43e1d932c54cb6ca56f,Zapier action configuration showing custom Tallyfy integration fields,"Zapier action setup interface displaying custom Tallyfy integration with fields for organization ID, process template selection, and field mapping configuration options.",Configure custom Tallyfy Zapier action with organization ID and process template fields,no
custom-tallyfy-zap-6.png,custom-tallyfy-zap-6.png,https://screenshots.tallyfy.com/custom-tallyfy-zap-6.png,native,.png,44.1KB,45140,True,pro-integrations-middleware-zapier-how-to-customize-your-tallyfy-zap-for-launch-process,1,2024-05-10T06:22:39.037Z,d1b0b1de689d1a3f6dfad1d9ec263920,Zapier action customization form for launching Tallyfy process,"Customize Process section showing Blueprint dropdown set to 'LEAVE REQUEST', Process Name field with dynamic name and timestamp tokens, and optional Process Notes field",Zapier Tallyfy integration customize process blueprint selection process name dynamic fields,no
custom-tallyfy-zap-7.png,custom-tallyfy-zap-7.png,https://screenshots.tallyfy.com/custom-tallyfy-zap-7.png,native,.png,51.7KB,52946,True,pro-integrations-middleware-zapier-how-to-customize-your-tallyfy-zap-for-launch-process,1,2024-05-10T06:22:39.211Z,20443df7a8f0ac1fc2a011f44937cdbd,Zapier custom Tallyfy integration configuration interface,"Zapier editor displaying custom Tallyfy integration setup with action configuration panel showing fields for organization ID, template selection, and process details",Zapier custom integration builder for Tallyfy with template and organization configuration fields,no
